kode;pemda;geo;lat;lon
991180;Kab. Grobogan;Polygon;-7,125266412;110,8851829
991176;Kab. Demak;Polygon;-6,926453017;110,5929196
991162;Kab. Kendal;Polygon;-7,062721315;110,1547581
991155;Kab. Semarang;MultiPolygon;-7,30053861;110,5242842
991134;Kota Tangerang;Polygon;-6,182028243;106,6590168
991120;Kota Cirebon;Polygon;-6,741820792;108,5531021
991113;Kota Sukabumi;Polygon;-6,930185472;106,925105
991109;Kota Bogor;Polygon;-6,602734777;106,7955933
991091;Kota Bandung;Polygon;-6,896260167;107,6447844
991087;Kab. Majalengka;Polygon;-6,752948734;108,1941182
991070;Kab. Indramayu;MultiPolygon;-6,408997235;108,1381238
991066;Kab. Kuningan;Polygon;-6,9740249;108,5435298
991052;Kab. Cirebon;Polygon;-6,77610302;108,599613
991045;Kab. Ciamis;Polygon;-7,335930981;108,4364019
991031;Kab. Tasikmalaya;MultiPolygon;-7,642436522;108,1615167
991024;Kab. Garut;MultiPolygon;-7,495099586;107,6868791
991010;Kab. Sumedang;Polygon;-6,834250698;107,9878074
991003;Kab. Bandung;Polygon;-7,053719735;107,6310539
990991;Kab. Subang;Polygon;-6,405984844;107,7238372
990984;Kab. Purwakarta;Polygon;-6,616323696;107,455869
990970;Kab. Karawang;Polygon;-6,277330661;107,4114212
990963;Kab. Bekasi;Polygon;-6,217027974;107,054201
990959;Kab. Cianjur;Polygon;-7,293015982;107,1303329
990942;Kab. Sukabumi;MultiPolygon;-7,197659258;106,5568487
990938;Kab. Bogor;Polygon;-6,454920055;106,8310867
990921;Kab. Tangerang;MultiPolygon;-6,164389747;106,5444944
990917;Kab. Lebak;MultiPolygon;-6,788955237;106,243999
990900;Kab. Pandeglang;MultiPolygon;-6,722553103;105,4142346
990895;Kab. Serang;MultiPolygon;-6,038119439;106,1037794
990811;Kota Bandar Lampung;MultiPolygon;-5,43252402;105,2681975
990807;Kab. Lampung Barat;Polygon;-5,024366598;104,3458771
990792;Kab. Lampung Utara;Polygon;-4,864442274;104,7723632
990785;Kab. Lampung Tengah;Polygon;-4,929700194;105,1248086
990771;Kab. Lampung Selatan;MultiPolygon;-5,601218801;105,5234398
